Time,Sales Rank,New Price,List Price
"5/4/2024, 3:34:41 AM",1715,31.96,31.96
"5/4/2024, 6:35:29 AM",1811,31.96,31.96
"5/4/2024, 9:36:13 AM",1924,31.96,31.96
"5/4/2024, 12:37:05 PM",1878,31.96,31.96
"5/4/2024, 3:38:07 PM",1748,31.96,31.96
"5/4/2024, 6:38:53 PM",1717,31.96,31.96
"5/4/2024, 9:39:39 PM",1665,31.96,31.96
"5/5/2024, 12:40:28 AM",1637,31.96,31.96
"5/5/2024, 3:41:13 AM",1655,31.96,31.96
"5/5/2024, 6:42:04 AM",1733,31.96,31.96
"5/5/2024, 12:43:35 PM",1821,31.96,31.96
"5/5/2024, 3:44:25 PM",1754,31.96,31.96
"5/5/2024, 6:45:16 PM",1737,31.96,31.96
"5/5/2024, 9:45:58 PM",1658,31.96,31.96
"5/6/2024, 12:46:48 AM",1662,31.96,31.96
"5/6/2024, 3:47:40 AM",1587,31.96,31.96
"5/6/2024, 6:48:27 AM",1621,31.96,31.96
"5/6/2024, 9:49:19 AM",1534,31.96,31.96
"5/6/2024, 3:51:01 PM",1522,31.96,31.96
"5/6/2024, 6:51:44 PM",1532,31.96,31.96
"5/6/2024, 9:52:42 PM",1524,31.96,31.96
"5/7/2024, 12:53:31 AM",1596,31.96,31.96
"5/7/2024, 3:54:12 AM",1656,31.96,31.96
"5/7/2024, 6:55:03 AM",1708,31.96,31.96
"5/7/2024, 12:56:28 PM",1674,31.96,31.96
"5/7/2024, 3:57:30 PM",1644,31.96,31.96
"5/7/2024, 6:58:22 PM",1688,31.96,31.96
"5/7/2024, 9:59:08 PM",1607,31.96,31.96
"5/8/2024, 12:59:36 AM",1499,31.96,31.96
"5/8/2024, 4:00:24 AM",1578,31.96,31.96
"5/8/2024, 10:01:29 AM",1658,31.96,31.96
"5/8/2024, 1:02:19 PM",1653,31.96,31.96
"5/8/2024, 4:03:11 PM",1578,31.96,31.96
"5/8/2024, 7:03:53 PM",1572,31.96,31.96
"5/8/2024, 10:04:35 PM",1561,31.96,31.96
"5/9/2024, 1:05:07 AM",1652,31.96,31.96
"5/9/2024, 4:05:42 AM",1722,31.96,31.96
"5/9/2024, 10:07:12 AM",1808,31.96,31.96
"5/9/2024, 1:08:03 PM",1834,31.96,31.96
"5/9/2024, 4:08:47 PM",1824,31.96,31.96
"5/9/2024, 7:09:27 PM",1790,31.96,31.96
"5/9/2024, 10:10:16 PM",1860,31.96,31.96
"5/10/2024, 1:11:05 AM",1845,31.96,31.96
"5/10/2024, 7:12:28 AM",1857,31.96,31.96
"5/10/2024, 1:14:05 PM",1811,31.96,31.96
"5/10/2024, 4:14:43 PM",1787,31.96,31.96
"5/10/2024, 7:15:25 PM",1750,31.96,31.96
"5/10/2024, 10:16:14 PM",1648,31.96,31.96
"5/11/2024, 1:17:05 AM",1689,31.96,31.96
"5/11/2024, 7:18:26 AM",1765,31.96,31.96
"5/11/2024, 10:19:14 AM",1826,31.96,31.96
"5/11/2024, 1:20:05 PM",1811,31.96,31.96
"5/11/2024, 4:20:44 PM",1711,31.96,31.96
"5/12/2024, 1:23:23 AM",1727,31.96,31.96
"5/12/2024, 4:24:08 AM",1695,31.96,31.96
"5/12/2024, 7:24:51 AM",1650,31.96,31.96
"5/12/2024, 10:25:36 AM",1663,31.96,31.96
"5/12/2024, 1:26:23 PM",1533,31.96,31.96
"5/12/2024, 4:27:12 PM",1537,31.96,31.96
"5/12/2024, 10:28:43 PM",1572,31.96,31.96
"5/13/2024, 1:29:39 AM",1618,31.96,31.96
"5/13/2024, 4:30:23 AM",1588,31.96,31.96
"5/13/2024, 7:31:05 AM",1590,31.96,31.96
"5/13/2024, 10:31:38 AM",1525,31.96,31.96
"5/13/2024, 1:32:29 PM",1585,31.96,31.96
"5/13/2024, 4:33:13 PM",1632,31.96,31.96
"5/13/2024, 7:33:46 PM",1644,31.96,31.96
"5/14/2024, 1:35:41 AM",1656,31.96,31.96
"5/14/2024, 4:36:37 AM",1743,31.96,31.96
"5/14/2024, 7:37:26 AM",1819,31.96,31.96
"5/14/2024, 10:38:23 AM",1871,31.96,31.96
"5/14/2024, 1:39:13 PM",1806,31.96,31.96
"5/14/2024, 4:40:04 PM",1792,31.96,31.96
"5/14/2024, 7:40:30 PM",1764,31.96,31.96
"5/15/2024, 1:42:09 AM",1742,31.96,31.96
"5/15/2024, 4:42:45 AM",1734,31.96,31.96
"5/15/2024, 7:43:27 AM",1814,31.96,31.96
"5/15/2024, 10:44:12 AM",1822,31.96,31.96
"5/15/2024, 1:45:04 PM",1709,31.96,31.96
"5/15/2024, 4:45:38 PM",1677,31.96,31.96
"5/15/2024, 7:46:30 PM",1681,31.96,31.96
"5/16/2024, 1:48:13 AM",1749,31.96,31.96
"5/16/2024, 7:49:41 AM",1802,31.96,31.96
"5/16/2024, 10:50:32 AM",1887,31.96,31.96
"5/16/2024, 1:51:22 PM",1797,31.96,31.96
"5/16/2024, 4:52:07 PM",1730,31.96,31.96
"5/16/2024, 7:52:55 PM",1682,31.96,31.96
"5/16/2024, 10:53:50 PM",1793,31.96,31.96
"5/17/2024, 4:55:13 AM",1867,31.96,31.96
"5/17/2024, 7:55:56 AM",1817,31.96,31.96
"5/17/2024, 10:56:42 AM",1767,31.96,31.96
"5/17/2024, 1:57:23 PM",1674,31.96,31.96
"5/17/2024, 4:58:14 PM",1705,31.96,31.96
"5/17/2024, 7:59:12 PM",1636,31.96,31.96
"5/17/2024, 10:59:53 PM",1695,31.96,31.96
"5/18/2024, 2:00:42 AM",1750,31.96,31.96
"5/18/2024, 5:01:24 AM",1875,31.96,31.96
"5/18/2024, 8:02:14 AM",1890,31.96,31.96
"5/18/2024, 11:03:04 AM",1882,31.96,31.96
"5/18/2024, 2:03:44 PM",1859,31.96,31.96
"5/18/2024, 8:05:19 PM",1846,31.96,31.96
"5/18/2024, 11:06:05 PM",1665,31.96,31.96
"5/19/2024, 2:06:44 AM",1615,31.96,31.96
"5/19/2024, 5:07:37 AM",1594,31.96,31.96
"5/19/2024, 11:09:13 AM",1721,31.96,31.96
"5/19/2024, 2:10:05 PM",1653,31.96,31.96
"5/19/2024, 5:10:26 PM",1687,31.96,31.96
"5/19/2024, 8:11:16 PM",1713,31.96,31.96
"5/19/2024, 11:12:16 PM",1728,31.96,31.96
"5/20/2024, 2:13:07 AM",1658,31.96,31.96
"5/20/2024, 8:14:13 AM",1752,31.96,31.96
"5/20/2024, 11:15:04 AM",1735,31.96,31.96
"5/20/2024, 2:15:44 PM",1742,31.96,31.96
"5/20/2024, 5:16:28 PM",1766,31.96,31.96
"5/20/2024, 8:17:16 PM",1785,31.96,31.96
"5/20/2024, 11:18:18 PM",1704,31.96,31.96
"5/21/2024, 2:20:18 AM",1651,31.96,31.96
"5/21/2024, 5:21:06 AM",1736,31.96,31.96
"5/21/2024, 8:21:43 AM",1764,31.96,31.96
"5/21/2024, 11:22:28 AM",1837,31.96,31.96
"5/21/2024, 2:24:37 PM",1812,31.96,31.96
"5/21/2024, 5:25:33 PM",1786,31.96,31.96
"5/21/2024, 11:27:14 PM",1820,31.96,31.96
"5/22/2024, 5:28:56 AM",1924,31.96,31.96
"5/22/2024, 8:29:41 AM",1939,31.96,31.96
"5/22/2024, 11:30:26 AM",1874,31.96,31.96
"5/22/2024, 2:31:15 PM",1802,31.96,31.96
"5/22/2024, 5:32:15 PM",1791,31.96,31.96
"5/22/2024, 8:33:13 PM",1688,31.96,31.96
