Time,Sales Rank,New Price,List Price
"5/4/2024, 12:58:48 AM",577,69.99,129.99
"5/4/2024, 7:00:24 AM",518,69.99,129.99
"5/4/2024, 1:02:04 PM",498,69.99,129.99
"5/4/2024, 4:02:45 PM",511,69.99,129.99
"5/4/2024, 7:03:31 PM",508,69.99,129.99
"5/4/2024, 10:04:17 PM",625,69.99,129.99
"5/5/2024, 1:05:06 AM",659,69.99,129.99
"5/5/2024, 4:05:45 AM",738,69.99,129.99
"5/5/2024, 7:06:31 AM",588,69.99,129.99
"5/5/2024, 1:08:13 PM",527,69.99,129.99
"5/5/2024, 4:08:59 PM",509,69.99,129.99
"5/5/2024, 7:09:40 PM",472,69.99,129.99
"5/5/2024, 10:10:29 PM",541,69.99,129.99
"5/6/2024, 1:11:14 AM",519,69.99,129.99
"5/6/2024, 4:12:06 AM",440,69.99,129.99
"5/6/2024, 7:12:49 AM",529,69.99,129.99
"5/6/2024, 10:13:42 AM",667,69.99,129.99
"5/6/2024, 4:17:03 PM",519,69.99,129.99
"5/6/2024, 7:17:58 PM",510,69.99,129.99
"5/6/2024, 10:18:45 PM",454,69.99,129.99
"5/7/2024, 1:19:52 AM",498,69.99,129.99
"5/7/2024, 4:20:55 AM",601,69.99,129.99
"5/7/2024, 7:21:50 AM",605,69.99,129.99
"5/7/2024, 1:25:16 PM",643,69.99,129.99
"5/7/2024, 4:26:06 PM",570,69.99,129.99
"5/7/2024, 7:26:47 PM",596,69.99,129.99
"5/7/2024, 10:27:38 PM",637,69.99,129.99
"5/8/2024, 1:28:51 AM",762,69.99,129.99
"5/8/2024, 4:29:28 AM",577,69.99,129.99
"5/8/2024, 7:30:10 AM",541,69.99,129.99
"5/8/2024, 1:31:43 PM",418,69.99,129.99
"5/8/2024, 4:32:39 PM",421,69.99,129.99
"5/8/2024, 7:33:27 PM",390,69.99,129.99
"5/8/2024, 10:34:17 PM",398,69.99,129.99
"5/9/2024, 1:35:37 AM",362,69.99,129.99
"5/9/2024, 4:36:24 AM",504,69.99,129.99
"5/9/2024, 7:37:54 AM",509,69.99,129.99
"5/9/2024, 10:39:01 AM",563,69.99,129.99
"5/9/2024, 4:40:25 PM",508,69.99,129.99
"5/9/2024, 7:41:17 PM",468,69.99,129.99
"5/9/2024, 10:42:17 PM",482,69.99,129.99
"5/10/2024, 1:43:06 AM",543,69.99,129.99
"5/10/2024, 4:43:46 AM",498,69.99,129.99
"5/10/2024, 7:44:32 AM",598,69.99,129.99
"5/10/2024, 10:45:22 AM",591,69.99,129.99
"5/10/2024, 4:47:03 PM",601,69.99,129.99
"5/10/2024, 7:47:47 PM",534,69.99,129.99
"5/10/2024, 10:48:43 PM",587,69.99,129.99
"5/11/2024, 1:49:32 AM",594,69.99,129.99
"5/11/2024, 4:50:26 AM",652,69.99,129.99
"5/11/2024, 10:52:03 AM",687,69.99,129.99
"5/11/2024, 1:52:41 PM",607,69.99,129.99
"5/11/2024, 4:53:28 PM",583,69.99,129.99
"5/11/2024, 7:54:15 PM",575,69.99,129.99
"5/11/2024, 10:55:06 PM",582,69.99,129.99
"5/12/2024, 1:55:46 AM",593,69.99,129.99
"5/12/2024, 7:57:25 AM",523,69.99,129.99
"5/12/2024, 10:58:08 AM",507,69.99,129.99
"5/12/2024, 1:58:50 PM",505,69.99,129.99
"5/12/2024, 4:59:36 PM",502,69.99,129.99
"5/12/2024, 8:00:25 PM",560,69.99,129.99
"5/13/2024, 2:01:40 AM",601,69.99,129.99
"5/13/2024, 5:02:28 AM",603,69.99,129.99
"5/13/2024, 8:03:16 AM",836,69.99,129.99
"5/13/2024, 11:04:04 AM",681,69.99,129.99
"5/13/2024, 2:04:38 PM",631,69.99,129.99
"5/13/2024, 5:05:30 PM",530,69.99,129.99
"5/13/2024, 8:06:17 PM",526,69.99,129.99
"5/13/2024, 11:07:05 PM",614,69.99,129.99
"5/14/2024, 5:08:58 AM",641,69.99,129.99
"5/14/2024, 8:09:30 AM",507,69.99,129.99
"5/14/2024, 11:10:12 AM",456,69.99,129.99
"5/14/2024, 2:11:03 PM",412,69.99,129.99
"5/14/2024, 5:11:40 PM",420,69.99,129.99
"5/14/2024, 8:12:32 PM",391,69.99,129.99
"5/14/2024, 11:13:08 PM",474,69.99,129.99
"5/15/2024, 5:14:24 AM",541,69.99,129.99
"5/15/2024, 8:15:08 AM",519,69.99,129.99
"5/15/2024, 11:15:43 AM",512,69.99,129.99
"5/15/2024, 2:16:26 PM",485,69.99,129.99
"5/15/2024, 5:17:12 PM",441,69.99,129.99
"5/15/2024, 8:17:50 PM",432,69.99,129.99
"5/16/2024, 2:19:29 AM",512,69.99,129.99
"5/16/2024, 5:20:17 AM",570,69.99,129.99
"5/16/2024, 8:21:05 AM",587,69.99,129.99
"5/16/2024, 11:21:38 AM",625,69.99,129.99
"5/16/2024, 5:25:03 PM",488,69.99,129.99
"5/16/2024, 8:25:39 PM",499,69.99,129.99
"5/16/2024, 11:26:23 PM",459,69.99,129.99
"5/17/2024, 2:27:07 AM",553,69.99,129.99
"5/17/2024, 5:27:56 AM",589,69.99,129.99
"5/17/2024, 8:28:36 AM",496,69.99,129.99
"5/17/2024, 11:29:24 AM",473,69.99,129.99
"5/17/2024, 2:30:14 PM",428,69.99,129.99
"5/17/2024, 5:31:15 PM",392,69.99,129.99
"5/17/2024, 8:31:58 PM",413,69.99,129.99
"5/17/2024, 11:32:42 PM",494,69.99,129.99
"5/18/2024, 2:33:25 AM",518,69.99,129.99
"5/18/2024, 5:34:15 AM",533,69.99,129.99
"5/18/2024, 8:35:05 AM",458,69.99,129.99
